Date,Open,High,Low,Close,Adj Close,Volume
2017-03-13,29437.230469,29824.619141,29356.050781,29648.990234,29648.990234,454600
2017-03-20,29653.539063,29699.480469,29137.480469,29421.400391,29421.400391,474000
2017-03-27,29395.679688,29687.640625,29163.539063,29620.500000,29620.500000,117700
2017-04-03,29737.730469,30007.480469,29668.449219,29706.609375,29706.609375,47300
2017-04-10,29752.619141,29838.820313,29442.259766,29461.449219,29461.449219,40700
2017-04-17,29470.269531,29701.189453,29241.480469,29365.300781,29365.300781,56300
2017-04-24,29407.679688,30184.220703,29392.990234,29918.400391,29918.400391,50400
2017-05-01,30021.490234,30176.550781,29804.119141,29858.800781,29858.800781,61200
2017-05-08,29915.119141,30366.429688,29877.410156,30188.150391,30188.150391,51200
2017-05-15,30287.369141,30712.349609,30273.619141,30464.919922,30464.919922,66500
2017-05-22,30638.880859,31074.070313,30247.599609,31028.210938,31028.210938,66000
2017-05-29,30944.380859,31332.560547,30869.900391,31273.289063,31273.289063,54300
2017-06-05,31274.740234,31430.320313,31087.279297,31262.060547,31262.060547,55900
2017-06-12,31225.429688,31260.769531,31017.179688,31056.400391,31056.400391,58800
2017-06-19,31168.980469,31522.869141,31110.390625,31138.210938,31138.210938,151200
2017-06-26,31194.679688,31294.960938,30680.660156,30921.609375,30921.609375,46700
2017-07-03,31156.039063,31460.699219,31017.109375,31360.630859,31360.630859,39600
2017-07-10,31510.619141,32109.750000,31471.410156,32020.750000,32020.750000,73000
2017-07-17,32053.980469,32131.919922,31626.439453,32028.890625,32028.890625,72400
2017-07-24,32100.220703,32672.660156,32058.330078,32309.880859,32309.880859,60200
2017-07-31,32412.199219,32686.480469,32107.990234,32325.410156,32325.410156,56500
2017-08-07,32377.800781,32396.140625,31128.019531,31213.589844,31213.589844,57300
2017-08-14,31299.519531,31937.509766,31298.900391,31524.679688,31524.679688,47100
2017-08-21,31609.929688,31678.189453,31220.529297,31596.060547,31596.060547,53300
2017-08-28,31756.869141,31944.099609,31360.810547,31892.230469,31892.230469,46800
2017-09-04,31932.199219,31932.199219,31560.320313,31687.519531,31687.519531,41000
2017-09-11,31798.310547,32356.109375,31797.890625,32272.609375,32272.609375,42600
2017-09-18,32361.369141,32524.109375,31886.089844,31922.439453,31922.439453,95700
2017-09-25,31986.400391,32016.519531,31081.830078,31283.720703,31283.720703,48000
